step,density,entropy
1,0.342529296875,0.927218528197822
2,0.30126953125,0.8828372328559315
3,0.29248046875,0.871903912617933
4,0.2822265625,0.8584669478128562
5,0.274169921875,0.8473847785509516
6,0.25732421875,0.8226816783731583
7,0.25390625,0.8174108828059471
8,0.243408203125,0.8006622116717081
9,0.242431640625,0.7990606824073998
10,0.243896484375,0.8014601734098981
11,0.22412109375,0.7676214232999343
12,0.2265625,0.7719706699485863
13,0.222900390625,0.7654282794524583
14,0.209228515625,0.7400054855815377
15,0.207275390625,0.7362423678104351
16,0.206787109375,0.7352963640144375
17,0.20556640625,0.7329221720458226
18,0.22265625,0.7649881629079047
19,0.196044921875,0.7139470625647258
20,0.2001953125,0.7223185479466773
21,0.185791015625,0.6925830809677387
22,0.182373046875,0.6852409594725706
23,0.175537109375,0.6702159295632071
24,0.157958984375,0.6294043616661045
25,0.15478515625,0.6216867291172639
26,0.14892578125,0.6071455304500025
27,0.140380859375,0.585235379608561
28,0.154541015625,0.6210884874933735
29,0.131591796875,0.5617875891341303
30,0.137451171875,0.5775245386140517
31,0.1279296875,0.551732883540373
32,0.11669921875,0.519797849580457
33,0.119140625,0.5268855631259515
34,0.121337890625,0.5331944025394164
35,0.12060546875,0.5310987659674714
36,0.126708984375,0.548342981559653
37,0.12109375,0.5324966654459904
38,0.1279296875,0.551732883540373
39,0.126708984375,0.548342981559653
40,0.123779296875,0.5401276411346202
41,0.125732421875,0.5456170793317512
42,0.120361328125,0.53039860076171
43,0.1171875,0.5212220180699688
44,0.113525390625,0.5104588690851048
45,0.117919921875,0.5233520405402596
46,0.115478515625,0.5162228029048354
47,0.117919921875,0.5233520405402596
48,0.119140625,0.5268855631259515
49,0.108642578125,0.4958079382334749
50,0.1103515625,0.5009754669369293
51,0.1044921875,0.4830758559750121
52,0.109619140625,0.4987661014715389
53,0.1064453125,0.4890999509252731
54,0.11376953125,0.5111823347718274
55,0.10986328125,0.4995034353744262
56,0.106689453125,0.489848875070195
57,0.107177734375,0.4913440183980943
58,0.108154296875,0.4943235357015806
59,0.095458984375,0.4544333629155355
60,0.0986328125,0.4646466690381046
61,0.09521484375,0.45364081551284297
62,0.097900390625,0.4623044342804554
63,0.089599609375,0.43513195148257644
64,0.087890625,0.4293895297280323
65,0.0869140625,0.426084605399772
66,0.087890625,0.4293895297280323
67,0.08349609375,0.41437965882664085
68,0.07958984375,0.40073232787413293
69,0.079833984375,0.40159395356620287
70,0.080322265625,0.40331369646808535
71,0.081787109375,0.4084450894791962
72,0.082763671875,0.4118430746546987
73,0.085693359375,0.421929048618629
74,0.084716796875,0.41858486418097957
75,0.088134765625,0.4302130723685626
76,0.091552734375,0.44163151595172956
77,0.088623046875,0.43185695036796456
78,0.093017578125,0.44646269312929887
79,0.092041015625,0.44324601777678996
80,0.098876953125,0.4654254766342295
81,0.09130859375,0.44082271540572804
82,0.089599609375,0.43513195148257644
83,0.08935546875,0.4343147889907573
84,0.08837890625,0.4310355450252054
85,0.086181640625,0.4235945442360147
86,0.091796875,0.44243928258455656
87,0.0927734375,0.4456600592373783
88,0.095458984375,0.4544333629155355
89,0.098388671875,0.4638668942072506
90,0.09326171875,0.4472643077466286
91,0.09814453125,0.4630861500041368
92,0.09765625,0.4615217448770414
93,0.08984375,0.4359480597900055
94,0.09228515625,0.4440517239877446
95,0.091552734375,0.44163151595172956
96,0.09375,0.4488644887230294
97,0.09912109375,0.4662033191224585
98,0.095703125,0.4552249144313776
99,0.098876953125,0.4654254766342295
100,0.096435546875,0.45759361632285644
101,0.092529296875,0.4448564036635749
102,0.086181640625,0.4235945442360147
103,0.09130859375,0.44082271540572804
104,0.080078125,0.40245440867780796
105,0.079345703125,0.39986952832230094
106,0.0830078125,0.4126897314271495
107,0.08056640625,0.40417182017619563
108,0.0810546875,0.40588458820376183
109,0.0771484375,0.3920509573599002
110,0.07666015625,0.39030029987842557
111,0.0712890625,0.37071587046226845
112,0.07470703125,0.38324878804797546
113,0.074462890625,0.3823617898742095
114,0.078857421875,0.39814039442024385
115,0.079833984375,0.40159395356620287
116,0.087890625,0.4293895297280323
117,0.08740234375,0.4277392237402332
118,0.094482421875,0.45125717508262947
119,0.097412109375,0.46073807962379054
120,0.093505859375,0.44806490548390887
121,0.099365234375,0.46698019861900664
122,0.0947265625,0.45205272389841955
123,0.089111328125,0.43349656971765144
124,0.097412109375,0.46073807962379054
125,0.08740234375,0.4277392237402332
126,0.0908203125,0.4392020026169103
127,0.0888671875,0.4326772910519802
128,0.093505859375,0.44806490548390887
129,0.091064453125,0.4400128784605991
130,0.092041015625,0.44324601777678996
131,0.0908203125,0.4392020026169103
132,0.0888671875,0.4326772910519802
133,0.083984375,0.416065091363473
134,0.087158203125,0.426912454977519
135,0.086181640625,0.4235945442360147
136,0.092041015625,0.44324601777678996
137,0.0859375,0.42276234377915156
138,0.09521484375,0.45364081551284297
139,0.086181640625,0.4235945442360147
140,0.095947265625,0.4560154723327203
141,0.09375,0.4488644887230294
142,0.093017578125,0.44646269312929887
143,0.090576171875,0.4383900853616408
144,0.1005859375,0.47085022456055514
145,0.1015625,0.4739291234809583
146,0.09423828125,0.45046062117168617
147,0.09814453125,0.4630861500041368
148,0.0966796875,0.45838120689816386
149,0.09423828125,0.45046062117168617
150,0.09130859375,0.44082271540572804
151,0.09521484375,0.45364081551284297
152,0.093994140625,0.44966305983332766
153,0.085205078125,0.42025916286758863
154,0.09326171875,0.4472643077466286
155,0.090576171875,0.4383900853616408
156,0.087890625,0.4293895297280323
157,0.0888671875,0.4326772910519802
158,0.088623046875,0.43185695036796456
159,0.092041015625,0.44324601777678996
160,0.087158203125,0.426912454977519
161,0.08740234375,0.4277392237402332
162,0.090087890625,0.4367631164956764
163,0.0888671875,0.4326772910519802
164,0.087158203125,0.426912454977519
165,0.083740234375,0.41522293546189076
166,0.084228515625,0.4169061294915085
167,0.085693359375,0.421929048618629
168,0.08447265625,0.4177460527887994
169,0.085205078125,0.42025916286758863
170,0.083251953125,0.41353525848013206
171,0.084716796875,0.41858486418097957
172,0.078125,0.3955378064564774
173,0.07958984375,0.40073232787413293
174,0.07861328125,0.3972740534089386
175,0.071044921875,0.3698110511807337
176,0.073974609375,0.3805840465536263
177,0.073486328125,0.37880128198146845
178,0.069580078125,0.3643546272980902
179,0.071044921875,0.3698110511807337
180,0.07275390625,0.3761176530064659
181,0.07861328125,0.3972740534089386
182,0.076904296875,0.39117623427789894
183,0.078369140625,0.39640652521532765
184,0.07958984375,0.40073232787413293
185,0.08251953125,0.4109952851318489
186,0.080078125,0.40245440867780796
187,0.082763671875,0.4118430746546987
188,0.0791015625,0.3990055516110638
189,0.0810546875,0.40588458820376183
190,0.075439453125,0.3859023335432744
191,0.077880859375,0.39466789372814315
192,0.07666015625,0.39030029987842557
193,0.080078125,0.40245440867780796
194,0.07763671875,0.3937967836045689
195,0.072998046875,0.3770134654572962
196,0.071044921875,0.3698110511807337
197,0.07080078125,0.3689049289493998
198,0.067626953125,0.357004843152098
199,0.0771484375,0.3920509573599002
200,0.07666015625,0.39030029987842557
201,0.078125,0.3955378064564774
202,0.07470703125,0.38324878804797546
203,0.07666015625,0.39030029987842557
204,0.068603515625,0.36069050179416473
205,0.067626953125,0.357004843152098
206,0.064208984375,0.34393122750042465
207,0.068115234375,0.3588503819262381
208,0.0693359375,0.3634405992080009
209,0.07373046875,0.3796932938331757
210,0.07275390625,0.3761176530064659
211,0.072509765625,0.37522056586712704
212,0.072509765625,0.37522056586712704
213,0.0703125,0.36708875901073373
214,0.068359375,0.3597711169771429
215,0.073974609375,0.3805840465536263
216,0.070556640625,0.3679974996188409
217,0.08154296875,0.4075927382811051
218,0.070556640625,0.3679974996188409
219,0.070068359375,0.3661787029175575
220,0.0673828125,0.35608003036204616
221,0.064697265625,0.34581574466838794
222,0.066650390625,0.3532973632827193
223,0.062744140625,0.3382431644262046
224,0.063232421875,0.34014497855548464
225,0.05908203125,0.32379009678121073
226,0.058837890625,0.3228144010633155
227,0.06396484375,0.34298682473669406
228,0.0625,0.3372900666170139
229,0.0634765625,0.3410937054109014
230,0.067626953125,0.357004843152098
231,0.064208984375,0.34393122750042465
232,0.064453125,0.3448741991280092
233,0.070556640625,0.3679974996188409
234,0.066162109375,0.3514353480481899
235,0.0751953125,0.38501905616985543
236,0.07177734375,0.372521616630936
237,0.06884765625,0.36160854082975785
238,0.070068359375,0.3661787029175575
239,0.070556640625,0.3679974996188409
240,0.071044921875,0.3698110511807337
241,0.0693359375,0.3634405992080009
242,0.071533203125,0.3716193909148298
243,0.068603515625,0.36069050179416473
244,0.065673828125,0.34956776560520875
245,0.06494140625,0.3467558691322022
246,0.063720703125,0.3420409857491396
247,0.067626953125,0.357004843152098
248,0.0673828125,0.35608003036204616
249,0.072998046875,0.3770134654572962
250,0.071533203125,0.3716193909148298
251,0.0732421875,0.3779080071482189
252,0.078125,0.3955378064564774
253,0.0849609375,0.41942256657666266
254,0.088134765625,0.4302130723685626
255,0.077392578125,0.39292447263828445
256,0.08349609375,0.41437965882664085
257,0.0791015625,0.3990055516110638
258,0.086669921875,0.4252556722607869
259,0.081787109375,0.4084450894791962
260,0.08544921875,0.4210946559287687
261,0.08740234375,0.4277392237402332
262,0.087646484375,0.4285649144186236
263,0.087158203125,0.426912454977519
264,0.093505859375,0.44806490548390887
265,0.085205078125,0.42025916286758863
266,0.085205078125,0.42025916286758863
267,0.087646484375,0.4285649144186236
268,0.083984375,0.416065091363473
269,0.08642578125,0.4244256527987316
270,0.082763671875,0.4118430746546987
271,0.0849609375,0.41942256657666266
272,0.0830078125,0.4126897314271495
273,0.084228515625,0.4169061294915085
274,0.087158203125,0.426912454977519
275,0.087646484375,0.4285649144186236
276,0.08447265625,0.4177460527887994
277,0.0849609375,0.41942256657666266
278,0.083251953125,0.41353525848013206
279,0.086181640625,0.4235945442360147
280,0.078857421875,0.39814039442024385
281,0.079345703125,0.39986952832230094
282,0.07373046875,0.3796932938331757
283,0.074462890625,0.3823617898742095
284,0.073974609375,0.3805840465536263
285,0.0712890625,0.37071587046226845
286,0.072509765625,0.37522056586712704
287,0.067626953125,0.357004843152098
288,0.073974609375,0.3805840465536263
289,0.06787109375,0.3579282921568923
290,0.074951171875,0.3841345422382467
291,0.070068359375,0.3661787029175575
292,0.071533203125,0.3716193909148298
293,0.0703125,0.36708875901073373
294,0.06884765625,0.36160854082975785
295,0.067138671875,0.35515384920377047
296,0.0771484375,0.3920509573599002
297,0.06787109375,0.3579282921568923
298,0.067626953125,0.357004843152098
299,0.071044921875,0.3698110511807337
300,0.069580078125,0.3643546272980902
301,0.0703125,0.36708875901073373
302,0.06982421875,0.3652673271022884
303,0.064208984375,0.34393122750042465
304,0.06640625,0.35236704918494266
